cole_cod_dane_sede_encoded,cole_cod_dane_sede
256.5528151610253,115047000019
273.7624940886601,115759000279
271.66880610429774,115238000728
244.45930814880293,115212000266
249.82369102788996,215204000294
251.66191919937918,115518000219
295.637783038961,315001000030
237.285927401461,115001001142
247.2943461517944,115759000465
247.08686068720297,215761000167
256.4521162002395,115367000017
266.49639224432207,115299000011
256.80535880358724,115763000291
242.5352916485768,315001003516
260.01403220438306,115500000084
255.67578516187504,115646000019
297.2606589064103,315176000067
261.5310291712607,115599000013
256.4507145618468,215238001141
254.25967738233314,115542000025
240.90046974984236,215681000514
252.04824037160554,215814000091
242.05177015489377,215407000087
292.3054857256662,215238000731
341.8211555502797,315238000166
263.45343166330474,115667000027
259.06862805166253,215861000121
254.6683010180086,115879000221
276.86135766288,115001002602
262.9353399114617,115176000041
284.6832736886583,115001000430
253.02285318803726,315106000124
249.87927219785306,115176000084
260.8968231713957,115804000021
256.4507145618468,215238001141
274.15261091906433,315753000021
256.4507145618468,215238001141
258.739249582409,115835000011
256.5528151610253,115047000019
287.9033117897835,315759002653
268.3292718648608,115759000473
263.45343166330474,115667000027
268.3292718648608,115759000473
247.0135834476133,115740000014
247.0135834476133,115740000014
282.4337505697809,315001002237
272.34831224211285,315176000016
287.635906446946,115407000023
267.07017227877594,115403000011
251.6611138777394,115296000011
292.3054857256662,215238000731
247.33273751825195,215476000013
244.07185140686698,215580000521
236.94787639235167,115572000348
228.26981087138375,315176001072
261.2993208451811,115837000256
284.6832736886583,115001000430
253.81081807110758,115673000012
256.4507145618468,215238001141
276.80342965186117,115759000278
311.06992223339176,115001000057
287.83143050860866,215759000907
261.5677566120758,115322000016
276.86135766288,115001002602
244.8351698417423,115572000321
280.09112091204446,315572000037
254.70498061080517,315762000076
247.0135834476133,115740000014
271.4922974765438,315176000857
297.1101684118607,315759000235
304.20470642925494,115238001813
220.1710376244622,315176001097
262.9353399114617,115176000041
311.06992223339176,115001000057
297.1101684118607,315759000235
244.56311499226024,315185000169
237.285927401461,115001001142
238.4423875361076,115822000152
295.637783038961,315001000030
239.25354834619662,115696000010
238.4423875361076,115822000152
268.304979716805,115001000065
303.822903201948,315759000073
234.23265502077913,115897000018
348.12253001059327,315516000628
255.7416010753088,115537000025
292.3054857256662,215238000731
261.06363524982027,115897000221
260.10784341472737,315380000114
250.5803379075448,315238001758
303.822903201948,315759000073
237.285927401461,115001001142
247.0135834476133,115740000014
251.60395286571838,115755000371
302.38390202832613,315001001010
275.20990947430056,115238000698
320.948242276063,315001000188
347.56287195291156,315001002288
241.7577843044572,215632000592
224.03621176413608,115572000062
261.5677566120758,115322000016
264.1853169695476,115808000026
256.38018813625536,115514000249
246.80760279814606,315638000050
276.80342965186117,115759000278
247.36985936590074,115531000015
287.83143050860866,215759000907
311.06992223339176,115001000057
264.31158983107605,315759000227
264.23423924593516,115753000013
244.31627156188557,315778000181
303.822903201948,315759000073
259.44490305402576,215189000126
308.6179463678434,315516000016
262.09251759241675,115764000082
249.87927219785306,115176000084
237.285927401461,115001001142
254.15451965027827,415001002061
259.0491795138057,115469000038
228.26981087138375,315176001072
249.1723359052584,115238000931
237.00894483147923,215580000041
244.9665739340573,315238001642
271.7740379843529,215238000315
265.92183172054723,215238000331
277.2812440008679,115759001615
287.635906446946,115407000023
275.92895250248506,315001001907
284.6832736886583,115001000430
250.65421432540842,115189000148
275.20990947430056,115238000698
295.637783038961,315001000030
256.4521162002395,115367000017
268.304979716805,115001000065
304.6189725050024,315238000026
308.6179463678434,315516000016
277.2812440008679,115759001615
258.41373932171854,315001001893
295.637783038961,315001000030
305.57211531451554,315238000158
257.5684863110639,215491000348
271.66880610429774,115238000728
267.5087701277394,115001002807
237.09605435000532,115183000022
258.41373932171854,315001001893
311.06992223339176,115001000057
247.2943461517944,115759000465
239.25354834619662,115696000010
