"cole_cod_dane_sede","cole_nombre_sede"
"315176000644","COLEGIO SEMINARIO MENOR DIOCESANO - SEDE PRINCIPAL"
"115686000011","I.E. TECNICA ANTONIO RICAURTE - SEDE PRINCIPAL"
"315401000276","I.E. TECNICA ALFONSO LOPEZ PUMAREJO - SEDE PRINCIPAL"
"115425000014","INST AGRICOLA DE MACANAL"
"215759000630","INSTITUCION EDUCATIVA RAFAEL GUTIERREZ GIRARDOT"
"115494000131","COL NTRA SRA DE LA ANTIGUA"
"215837000340","I.E EL CRUCE - SEDE PRINCIPAL"
"215599000140","COL BAS EL ESCOBAL"
"115839000105","COL TEC AGRP PIO MORANTES"
"415516000703","I.E. SANTA RITA - SEDE PRINCIPAL"
"215837000358","IE RIO DE PIEDRAS - SEDE PRINCIPAL"
"115531000015","I.E.T NACIONALIZADO DE PAUNA - SEDE PRINCIPAL"
"315759000235","LICEO DE LA PRESENTACION"
"115212000266","I.E. JUANA CAPORAL - SEDE PRINCIPAL"
"215135000236","I.E. MARÍA AUXILIADORA - SEDE PRINCIPAL"
"115244000012","I.E. JOSE SANTOS GUTIERREZ - SEDE PRINCIPAL"
"115001000430","CENTRAL"
"115047000019","IE TECNICA RAMON IGNACIO AVELLA - SEDE PRINCIPAL"
"115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZÓN - SEDE PRINCIPAL"
"115842000272","COL SAN IGNACIO"
"115176000041","LIC NAL JOSE JOAQUIN CASAS"
"315753000021","ESC NORMAL SUPERIOR LA PRESENTACION"
"115051000155","COL TEC ALEJANDRO DE HUMBOLDT"
"115276000014","INST NZADO BTO TEC CIAL"
"315511000018","COL DPTAL HONORIO ANGEL Y OLARTE"
"115808000026","COL DE EDUC BAS Y MEDIA MARIANO OSPINA PEREZ"
"215806000236","IE TECNICO INDUSTRIAL - SEDE PRINCIPAL"
"215820000087","I.E. VADO CASTRO - SEDE PRINCIPAL"
"315816000191","I.E. HAYDEE CAMACHO SAAVEDRA - SEDE PRINCIPAL"
"215761000167","I.E. TECNICA JOSE BENIGNO PERILLA - SEDE PRINCIPAL"
"315759002556","INSTITUCION EDUCATIVA ANTONIO NARIÑO"
"115572000321","COLEGIO JOSE ANTONIO GALAN"
"215224000011","I.E. PIJAOS - SEDE PRINCIPAL"
"315806000214","COL DEPARTAMENTAL"
"215325000089","COL EDUC BAS SOCHAQUIRA ABAJO"
"215673000025","IE EL CHAPETON - SEDE PRINCIPAL"
"215837000340","I.E EL CRUCE"
"415839000125","IE TEC LA LIBERTAD - SEDE PRINCIPAL"
"315686000177","LICEO CAMPESTRE MUNDO CONSTRUCTIVO - SEDE PRINCIPAL"
"215172000050","I.E. JUAN DE JESÚS ACEVEDO - SEDE PRINCIPAL"
"215180000051","COL DE EDUC BAS LAS CAÑAS"
"315001001613","CENTRO JUVENIL EMILIANI"
"115001001169","ASIS"
"215842000226","IE SAN ISIDRO - SEDE PRINCIPAL"
"215542000194","IE EL HATO - SEDE PRINCIPAL"
"315238001847","I.E. GENERAL SANTANDER - SEDE PRINCIPAL"
"215632000592","ESC NORMAL SUPERIOR"
"115790000031","IE JORGE GUILLERMO MOJICA MARQUEZ - SEDE PRINCIPAL"
"115550000191","IE RAMON BARRANTES - SEDE PRINCIPAL"
"215820000087","COL BAS VADO CASTRO"
"215516000127","IE RAFAEL BAYONA NI¿O"
"115176000041","I.E. JOSE JOAQUIN CASAS - SEDE PRINCIPAL"
"315238001057","COLEGIO JESUS MAESTRO"
"315660000012","I.E. TECNICA ANTONIO NARIÑO - SEDE PRINCIPAL"
"315759001576","INSTITUCIÓN EDUCATIVA ANGLO AMERICANO"
"115377000015","COL NZADO TEC AGROP VALENTIN GARCIA"
"315759001495","""""""CENTRO DE DESARROLLO HUMANO """"""""CEDHU"""""""""""""""
"215572000938","CONC DE DESARROLLO RURAL"
"115516000424","COL TEC TOMAS VASQUEZ RODRIGUEZ"
"315022000196","I.E. ENRIQUE SUAREZ - SEDE PRINCIPAL"
"215600000311","IE NSTRA SRA DE LA CANDELARIA - SEDE PRINCIPAL"
"315185000169","COL SAN PEDRO CLAVER"
"415403000197","I.E.T. AGROINDUSTRIAL CUSAGUI - SEDE PRINCIPAL"
"215790000222","IE JUAN JOSE RONDON - SEDE PRINCIPAL"
"215667000277","ESC LA FRONTERA"
"115693000035","IE CARLOS ARTURO TORRES PEÑA - SEDE PRINCIPAL"
"315362000093","I.E.T. SERGIO CAMARGO - SEDE PRINCIPAL"
"215837000307","I.E. GENERAL SANTANDER"
"115087000011","I.E. SUSANA GUILLEMIN - SEDE PRINCIPAL"
"315638000050","INST ED NUEVA GENERACION"
"215646000137","I.E. LA LIBERTAD - SEDE PRINCIPAL"
