"cole_cod_dane_establecimiento","cole_nombre_establecimiento"
"215759000583","INSTITUCION EDUCATIVA EL CRUCERO"
"215761000051","IE NORMAL SUPERIOR VALLE DE TENZA"
"215757000187","IE LOS LIBERTADORES"
"315001002342","LICEO LEON DE GREIFF"
"315778000181","I.E. TECNICA SAN BARTOLOME"
"115087000011","I.E. TECNICA SUSANA GUILLEMIN"
"215001001007","INSTITUCION EDUCATIVA RURAL DEL SUR"
"315776000133","I.E. HECTOR JULIO GOMEZ"
"215632000592","IE NORMAL SUPERIOR"
"115814000011","I.E. PLINIO MENDOZA NEIRA"
"215092000041","I.E. TECNICA NUESTRA SEÑORA DE LA O"
"115531000015","I.E.T NACIONALIZADO DE PAUNA"
"115676000013","I.E. ALFONSO VANEGAS SIERRA"
"215507000041","I.E. SAMUEL IGNACIO SANTAMARIA"
"315759001983","COLEGIO SUAMOX"
"215047000099","I.E. REGION SUR DE AQUITANIA"
"315001004248","GIMNASIO AGUSTINIANO DE TUNJA"
"115238000698","COLEGIO GUILLERMO LEON VALENCIA"
"415238001664","COLEGIO DE BACHILLERATO NUEVA ESPERANZA"
"215516000542","I.E. TECNICA AGRICOLA"
"315759002530","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
"115238000728","COLEGIO BOYACA DE DUITAMA"
"215806000139","IE ROBERTO FRANCO IZASA"
"315759000073","COLEGIO NUESTRA SEÑORA DEL ROSARIO"
"315759001550","COLEGIO ALEJANDRO DE HUMBOLDT"
"315001003861","GIMNASIO GALILEO GALILEI"
"315176000016","I.E. TECNICO COMERCIAL SAGRADO CORAZON DE JESUS"
"115403000011","I.E. NUESTRA SEÑORA DE LAS MERCEDES"
"115176000033","I.E. TECNICA PIO ALBERTO FERRO PEÑA"
"115740000014","I.E. TECNICA IGNACIO GIL SANABRIA"
"215516000305","I.E.T PANTANO DE VARGAS"
"315238001758","INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA"
"215494000063","I.E. LLANO GRANDE"
"115248000017","I.E. TECNICA AGROINDUSTRIAL EL ESPINO"
"115720000212","I.E. TECNICA NUESTRA SEÑORA DEL ROSARIO"
"215676000077","IE HATOVIEJO"
"215572000385","IE GUANEGRO"
"315001001923","GIMNASIO CAMPESTRE DEL NORTE"
"115516000424","I.E. TOMAS VASQUEZ RODRIGUEZ"
"215469000156","I.E. TECNICA LA LAJA"
"315238000794","COLEGIO JESUS EUCARISTIA"
"215407000087","IE LUIS CARLOS GALAN"
"115176000084","I.E. TECNICO INDUSTRIAL JULIO FLOREZ"
"115774000021","I.E. NUESTRA SEÑORA DEL CARMEN"
"115407000023","I.E. TECNICA Y ACADEMICA ANTONIO NARIÑO"
"215176000101","I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA"
"115299000038","I.E.T. SAN LUIS"
"215232000135","I.E.T. SAN PEDRO DE IGUAQUE"
"215180000174","I.E. JAIME RUIZ CARRILLO"
"115664000123","IE HORIZONTES"
"115572000348","IE JOHN F. KENNEDY"
"115466000011","I.E.T. JOSE ACEVEDO Y GOMEZ"
"215600000311","I.E. NUESTRA SEÑORA DE LA CANDELARIA"
"115051000155","I.E.T. ALEJANDRO DE HUMBOLDT"
"115162000120","I.E. DE CERINZA"
"415131000141","I.E. AGRICOLA ANTONIO NARIÑO"
"315238001057","COLEGIO JESUS MAESTRO"
"115491000017","I.E. TECNICA DE NOBSA"
"115667000027","I.E. SAN LUIS DE GACENO"
"115131000172","IE FRANCISCO JOSE DE CALDAS"
"115759001895","INSTITUCION EDUCATIVA TECNICO DE BELLAS ARTES"
"315690000416","I.E. TEC JACINTO VEGA"
"215778000047","I.E. LOS NARANJOS"
"315001001907","COLEGIO MILITAR CORONEL JUAN JOSE RONDON"
"215183000060","I.E. EL MORAL"
"215572000393","I.E. PUERTO PINZON"
"315646000557","INSTITUTO DE EDUCACION FORMAL COMFABOY"
"115180001301","COLEGIO NACIONALIZADO DE BACHILLERATO AGROPECUARIO"
"315090000064","I.E. CAMPO ELIAS CORTES"
"115466000151","IE TECNICA DE MONGUI"
"315001002288","COLEGIO ANDINO DE TUNJA"
"415764800015","INSTITUCION EDUCATIVA GABRIEL GARCIA MARQUEZ"
"115572000321","IE JOSE ANTONIO GALAN"
"215238000731","INSTITUTO TECNICO SANTO TOMAS DE AQUINO"
"115276000014","I.E. HECTOR JULIO RANGEL QUINTERO"
"115759000406","INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER"
"215820000087","I.E. VADO CASTRO"
"115104000128","I.E. DE BOYACA"
"115425000014","I.E. TECNICA JAIME CAMPOS JACOME DE MACANAL"
"315176800012","COLEGIO SUPERIOR SAN BARTOLOME"
"115109000363","I.E. JOSE MARIA SILVA SALAZAR"
"215476000013","I.E.T. AMBIENTAL SOTE PANELAS"
"315001003144","COL MODERNO LA FLORIDA"
"315407000243","INSTITUCION EDUCATIVA NUEVA ERA"
"215667000153","I.E. TELEPALMERITAS"
"215693000200","I.E. TECNICA EL PORTACHUELO"
"315001003476","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
"315759000227","COLEGIO CIUDAD DEL SOL"
"115837000256","I.E. TÉCNICA CHICAMOCHA"
"115001002017","ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON"
"115533000179","I.E. TECNICO SIMONA AMAYA"
"215599000123","IE NAGUATA"
"315176000997","CENTRO DE ENSEÑANZA PRECOZ CAMINO AL SABER"
"315299800009","INSTITUTO SANTA SOFIA"
"315001001613","INSTITUCION EDUCATIVA SAN JERONIMO EMILIANI"
"215176001131","I.E. TECNICA LOS COMUNEROS"
"415632000516","IE GARAVITO"
"215464000085","I.E. TUNJUELO"
"115322000024","I.E. TECNICA VALLE DE TENZA"
"115244000012","I.E. JOSE SANTOS GUTIERREZ"
"315660000012","I.E. TECNICA ANTONIO NARIÑO"
"315806000214","I.E. JORGE CLEMENTE PALACIOS"
"115047000019","I.E. TECNICA RAMON IGNACIO AVELLA"
"115550000191","I.E. RAMON BARRANTES"
"315001003632","INSTITUTO SAN FERNANDO FERRINI"
"215580000017","IE LA FLORESTA"
"115798000014","I.E. TECNICA JOSE GABRIEL CARVAJAL GARCIA"
"215092000105","I.E.T. AGROPECUARIO SANTA RITA DE CASIA"
"215759000575","INSTITUCION EDUCATIVA MARCO ANTONIO QUIJANO RICO"
"415500800009","INSTITUCION EDUCATIVA NUEVA GRANADA"
"415764800007","COLEGIO BILINGÜE OXFORD - SEDE PRINCIPAL"
"315861002129","INSTITUCION EDUCATIVA MANUEL ANTONIO FLOREZ"
"215804000204","IE SUPANECA"
"315176000059","COLEGIO NUESTRA SEÑORA DEL ROSARIO"
"215469000113","I.E. SERAFIN LUENGAS CHACON"
"315223000119","I.E. TECNICA NACIONALIZADA PABLO VI"
"215238000412","INSTITUCION EDUCATIVA AGROINDUSTRIAL FRANCISCO MEDRANO"
"215621000035","IE RANCHO GRANDE"
"215469000075","I.E. HERNANDO GELVEZ SUAREZ"
"315753000021","I.E. ESCUELA NORMAL SUPERIOR LA PRESENTACION"
"115759001615","INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI"
"115377000015","I.E. VALENTÍN GARCIA"
"215172000050","I.E. JUAN DE JESUS ACEVEDO"
"115494000131","I.E. NUESTRA SEÑORA DE LA ANTIGUA"
"315001002997","COL COOPTEBOY"
"215238000510","INSTITUCION EDUCATIVA SAN LUIS"
"115131000172","I.E. FRANCISCO JOSE DE CALDAS"
"415839000125","I.E. TECNICA LA LIBERTAD"
"115810000220","IE LUCAS CABALLERO CALDERON"
"115407000023","I.E. TEC Y ACAD ANTONIO NARIÑO"
"315001001893","INSTITUTO TECNICO GONZALO SUAREZ RENDON"
"215759000664","INSTITUCION EDUCATIVA SILVESTRE ARENAS"
"315106000124","I.E.T. MANUEL BRICEÑO"
"115759000490","INSTITUCION EDUCATIVA EMPRESARIALY AGROINDUSTRIAL LOS ANDES INSEANDES"
"215837000102","IE SAN NICOLAS"
"315469000533","I.E. SAN MIGUEL ARCANGEL"
"215296000058","I.E. SAZA"
"315690000483","COL LEONARDO DA VINCI"
"315455000352","LICEO MODERNO SAN SEBASTIAN"
"115464000242","I.E.T. LISANDRO CELY"
"115322000016","I.E.TÉCNICA ENRIQUE OLAYA HERRERA"
"115693000043","I.E. CASILDA ZAFRA"
"315176001144","GIMNASIO CRISTIANO JESUCRISTO ES EL REY"
"315362000093","I.E.T. SERGIO CAMARGO"
"115097000028","I.E. TECNICO AGRICOLA"
"415480000400","I.E. CONCHA MEDINA DE SILVA"
"215572000121","I.E. TECNICA PUERTO SERVIEZ"
"215861000156","I.E. PUENTE DE PIEDRA"
"115238000132","INSTITUTO TECNICO INDUSTRIAL RAFAEL REYES-DUITAMA"
"115686000011","I.E. TECNICA ANTONIO RICAURTE"
"115808000026","IE MARIANO OSPINA PEREZ"
