"cole_codigo_icfes","cole_nombre_sede"
"4994","COL EDUC BAS Y MEDIA TEC NTRA SRA DEL NAZARETH"
,"COLEGIO CORPORACIÓN SANTO DOMINGO - SEDE PRINCIPAL"
"86215","INSTITUCION EDUCATIVA GUSTAVO ROJAS PINILLA CENTRAL"
"107359","COLEGIO BOLIVARIANO - SEDE PRINCIPAL"
"45815","COLEGIO MAYOR LEON XIII"
"48090","COLEGIO SANTA TERESITA"
"96651","I.E. TECNICA SALAMANCA - SEDE PRINCIPAL"
"47332","COL PANAMERICANO PUENTE BOYACA"
,"I.E. ANTONIO NARIÑO - SEDE PRINCIPAL"
"54593","COL SIMÓN BOLIVAR"
"49452","I.E. EL CHARCO - SEDE PRINCIPAL"
"742619","I.E. VADO CASTRO - SEDE PRINCIPAL"
"9110","I.E. VALLE DE TENZA - SEDE PRINCIPAL"
"60095","IE AGROPECUARIO - SEDE PRINCIPAL"
"159947","I.E. TECNICA NACIONALIZADA PABLO VI - SEDE PRINCIPAL"
"139931","I.E. ZULIA DE MARIPÍ"
,"IE SERGIO CAMARGO - SEDE PRINCIPAL"
"86264","IE TEC JOSE IGNACIO DE MARQUEZ - SEDE PRINCIPAL"
"147629","COL DE EDUCACION BAS PAJALES"
"661884","ESC LA FRONTERA"
"676056","INSTITUCION EDUCATIVA LA INDEPENDENCIA"
"142323","I.E. SAN ANTONIO NORTE - SEDE PRICIPAL"
,"INSTITUTO TECNICO INDUSTRIAL RAFAEL REYES-DUITAMA"
,"IE HORIZONTES - SEDE PRINCIPAL"
,"COLEGIO CRISTIANO FILADELFIA"
"11059","COLEGIO BOLIVARIANO - SEDE PRINCIPAL"
"160564","INSTITUCION EDUCATIVA"
,"I.E. SOCHAQUIRA ABAJO - SEDE PRINCIPAL"
"142745","COLEGIO CRISTIANO FILADELFIA"
"24828","I.E. TECNICA Y ACADEMICA ANTONIO NARIÑO - SEDE PRINCIPAL"
"5603","INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO"
"141382","IE RANCHO GRANDE - SEDE PRINCIPAL"
"47241","INST TEC AGROP LA ESMERALDA"
"24810","IE TEC JOSE GABRIEL CARVAJAL GARCIA - SEDE PRINCIPAL"
"42317","COL DEPARTAMENTAL"
"152884","I.E.T. AGROPECUARIA SAN RAFAEL - SEDE PRINCIPAL"
"166900","I.E. BUTAGÁ - SEDE PRINCIPAL"
"86330","IE SAN MARCOS - SEDE PRINCIPAL"
"5066","INS ED TEC Y ACAD JOSE MARIA POTIER - LA MILAGROSA"
"139113","I.E. LA CABAÑA - SEDE PRINCIPAL"
"155812","I.E. TECNICA PIO MORANTES - SEDE PRINCIPAL"
,"CENTRO JUVENIL EMILIANI"
,"EDIFICIO CALLE 18"
,"IE IGNACIO GIL SANABRIA - SEDE PRINCIPAL"
"86231","CARLOS ARTURO TORRES SEDE CENTRAL"
"712984","GIMNASIO CAMBRIDGE - SEDE PRINCIPAL"
