"cole_codigo_icfes","cole_nombre_sede"
"660092","I.E.TÉCNICA ENRIQUE OLAYA HERRERA - SEDE PRINCIPAL"
"47332","IE PANAMERICANO PUENTE BOYACA - SEDE PRINCIPAL"
"136606","I.E. SAMUEL IGNACIO SANTAMARIA - SEDE PRINCIPAL"
"748053","I.E. TECNICA JAIME CAMPOS JACOME DE MACANAL - SEDE PRINCIPAL"
"47308","COL TEC NSTRA SRA DE LA PAZ"
"5488","COL IGNACIO GIL SANABRIA"
"5264","INST AGRICOLA DE MACANAL"
"64865","I.E. TECNICA PEDRO JOSE SARMIENTO - SEDE PRINCIPAL"
"196113","COLEGIO MI PEQUE¿O MUNDO"
"4895","INST DE PROM SOC NSTRA SRA DEL ROSARIO"
"108233","IE RAMON BARRANTES - SEDE PRINCIPAL"
"159467","COL DE EDUC BAS LAS CAÑAS"
"105601","IE SAN MARCOS - SEDE PRINCIPAL"
"168427","IE JOSE ANTONIO GALAN - SEDE PRINCIPAL"
"159095","I.E. SAN MIGUEL - SEDE PRINCIPAL"
,"COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
"151266","IE COL DE EDUC BAS MARCO AURELIO VARGAS"
,"IE TEC AGROPECUARIO - SEDE PRINCIPAL"
"6282","I.E.T. AGROPECUARIA SAN RAFAEL - SEDE PRINCIPAL"
,"COLEGIO SANTA TERESITA"
"47266","I.E. DE BOYACA - SEDE PRINCIPAL"
"4960","I.E.T. COMERCIAL SAGRADO CORAZON DE JESÚS - SEDE PRINCIPAL"
"666503","IE SIMON BOLIVAR - SEDE PRINCIPAL"
"49494","IE RIO DE PIEDRAS - SEDE PRINCIPAL"
"158600","COL DE EDUC BAS LLANO GRANDE"
"64188","IE TEC LA LIBERTAD - SEDE PRINCIPAL"
"107078","COLEGIO JOSE ANTONIO GALAN"
"153841","IE CASILDA ZAFRA"
"148502","SEDE SAN LUIS"
"155226","IE RIO DE PIEDRAS - SEDE PRINCIPAL"
"128538","IE JORGE ELIECER GAITAN - SEDE PRINCIPAL"
"141804","COL DE VERDE ALBARRACIN"
,"I.E. SILVINO RODRIGUEZ CENTRAL"
,"I.E. NUESTRA SEÑORA DE LA ANTIGUA - SEDE PRINCIPAL"
,"IE DE SORA - SEDE PRINCIPAL"
,"I.E. SAN PEDRO CLAVER - SEDE PRINCIPAL"
,"IE TEC SAN IGNACIO - SEDE PRINCIPAL"
"734384","I.E. TECNICA AGROPECUARIA - SEDE PRINCIPAL"
"157321","COLEGIO TECNICO MUNICIPAL SIMÓN BOLIVAR"
"96685","COL MILITAR CORONEL FRAY JOSE IGNACIO MARIÑO"
"30189","COL. NUESTRA SEÑORA DE FÁTIMA"
"5421","IE NORMAL SUPERIOR - SEDE PRINCIPAL"
"334730","IE GUANEGRO - SEDE PRINCIPAL"
"158485","I.E. JESUS EMILIO JARAMILLO MONSALVE - SEDE PRINCIPAL"
"57711","ASIS"
"134569","INSTITUCION EDUCATIVA MAGDALENA"
"27201","IE TEC NSTRA SEÑORA DEL ROSARIO - SEDE PRINCIPAL"
"54593","IE SIMON BOLIVAR - SEDE PRINCIPAL"
"713008","COLEGIO BILINGÜE OXFORD - SEDE PRINCIPAL"
"37630","COLEGIO GRAN COLOMBIA"
"164764","COL DE EDUC BAS REAVITA"
"158741","IE VADO CASTRO - SEDE PRINCIPAL"
"120675","ESC CAPILLA N° 1"
"5041","INS ED TEC Y ACAD JOSE MARIA POTIER - LA MILAGROSA"
,"INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ"
"163337","I.E. TÉCNICA NSTRA SRA DE LA PAZ  - SEDE PRINCIPAL"
"57125","COL RUR SAN ISIDRO"
"28241","IE TEC JOSE IGNACIO DE MARQUEZ - SEDE PRINCIPAL"
,"I.E.T. COMERCIAL SAGRADO CORAZON DE JESÚS - SEDE PRINCIPAL"
,"I.E. EL PRADO - SEDE PRINCIPAL"
"86272","I.E. LOPEZ QUEVEDO"
"136978","I.E.T. JOSE ACEVEDO Y GOMEZ - SEDE PRINCIPAL"
"126870","I.E. SAN FELIPE - SEDE PRINCIPAL"
"5363","I.E. ARMANDO SOLANO - SEDE PRINCIPAL"
"25593","INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ"
"57166","I.E. AGROPECUARIA - SEDE PRINCIPAL"
"196998","GIMNASIO AGUSTINIANO DE TUNJA - SEDE PRINCIPAL"
"158428","IE SUSE - SEDE PRINCIPAL"
"148288","INSTITUCION EDUCATIVA JULIUS SIEBER"
"137794","COUNTRY BILINGUAL SCHOOL - SEDE PRINCIPAL"
,"COLEGIO COLOMBO BRITANICO"
,"I.E. VALENTÍN GARCIA - SEDE PRINCIPAL"
,"IE JORGE CLEMENTE PALACIOS - SEDE PRINCIPAL"
"163725","IE TECNICO INDUSTRIAL - SEDE PRINCIPAL"
"151332","COL EDUC BAS LOS LIBERTADORES"
,"INSTITUTO TECNICO SANTO TOMAS DE AQUINO SEDE BACHILLERATO"
,"COL DULCE CORAZON DE MARIA"
,"I.E.T. DE FIRAVITOBA - SEDE PRINCIPAL"
,"INSTITUTO TECNICO SAN ANTONIO DE PADUA - SEDE PRICIPAL"
"724153","INSTITUTO TECNICO GONZALO SUAREZ RENDON CENTRAL"
"5413","I.E. TECNICA JOSE IGNACIO DE MARQUEZ - SEDE PRINCIPAL"
"751925","I.E. FRANCISCO DE PAULA SANTANDER - SEDE PRINCIPAL"
"724971","CARLOS ARTURO TORRES SEDE CENTRAL"
"5397","I.E. TECNICA INDUSTRIAL Y MINERA - SEDE PRINCIPAL"
"40501","IE DE SORA - SEDE PRINCIPAL"
"168468","IE TEC RAFAEL URIBE - SEDE PRINCIPAL"
"27847","I.E. ANTONIO NARIÑO - SEDE PRINCIPAL"
"608497","I.E. SAGRADA FAMILIA"
"102525","IE CASILDA ZAFRA - SEDE PRINCIPAL"
"54601","I.E. SAN IGNACIO DE LOYOLA - SEDE PRINCIPAL"
"4994","COLEGIO DE EDUCACION BASICA Y MEDIA TECNICA NUESTRA SEÑORA DE NAZARETH"
"27086","COL ANTONIO RICAURTE"
"162859","I.E. SANTA ROSA - SEDE PRINCIPAL"
"5454","ESC NORMAL SUPERIOR"
"160390","I.E. SERAFIN LUENGAS CHACON - SEDE PRINCIPAL"
"104521","IE LA FLORESTA - SEDE PRINCIPAL"
"147694","COL DE EDUC BAS EL CERRO"
"57141","INSTITUTO TÉCNICO JOSÉ MIGUEL SILVA PLAZAS"
"91413","COL SOTE PANELAS"
,"RUNTA ABAJO"
"96677","INST JOSE CAYETANO VASQUEZ"
"144816","I.E. JOSE MARIA SILVA SALAZAR - SEDE PRINCIPAL"
"151639","IE IGNACIO GIL SANABRIA - SEDE PRINCIPAL"
"328716","INSTITUCION EDUCATIVA AGROINDUSTRIAL FRANCISCO MEDRANO"
"40436","COL JOSE ASUNCION SILVA"
,"I.E. TÉCNICA ZULIA DE MARIPÍ - SEDE PRINCIPAL"
"136978","INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER"
"778431","COLEGIO DE BOYACA"
"49445","I.E. JUAN JOSE SAMANIEGO - SEDE PRINCIPAL"
"750604","CENTRO EDUCATIVO SAN AGUSTIN - SEDE PRINCIPAL"
"54619","I.E.T. AGROPECUARIO SANTA RITA DE CASIA - SEDE PRINCIPAL"
"169078","I.E.T. AGROPECUARIA EL MARFIL - SEDE PRINCIPAL"
"5355","IE EL ROSARIO"
"151407","ESC CIENEGA BALVANERA"
"5231","COL TEC CIAL"
"48173","COL DE EDUC BAS Y MEDIA TEC LOPEZ QUEVEDO"
"149955","COL BAS MUÑOCES Y CAMACHOS"
"106963","INSTITUCION EDUCATIVA EMPRESARIALY AGROINDUSTRIAL LOS ANDES INSEANDES"
"160408","I.E. JUAN JOSE SAMANIEGO - SEDE PRINCIPAL"
"162313","I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA - SEDE PRINCIPAL"
"116541","CENTRO JUVENIL CAMPESINO FELIX GLOOR"
"148668","COL DE EDUC BAS LA GRANJA"
"163246","I.E. SAN JOSE DE NAZARETH - SEDE PRINCIPAL"
"96701","IE JUAN BAUTISTA MARIA VIANNEY"
"741447","I.E. AGROINDUSTRIAL LA PRADERA - SEDE PRINCIPAL"
"608125","LICEO COLOMBO INGLES  CI  - SEDE PRINCIPAL"
"5728","INST TEC AGROPECUARIO"
"5751","I E TEC AGROP LIBARDO CUERVO PATARROYO"
"160531","COL EDUC BAS TELEPALMERITAS"
,"COLEGIO SUAMOX"
"108316","I.E.T. DE NOBSA - SEDE PRINCIPAL"
"160218","COL DE EDUC BAS MIRAFLORES"
,"I.E. EL CERRO - SEDE PRINCIPAL"
"159269","COL DE EDUC BAS CASCAJAL"
"54627","SEDE CENTRAL"
,"IE ADOLFO MARIA JIMENEZ - SEDE PRINCIPAL"
,"IE SAN JOSE DE LA FLORIDA - SEDE PRINCIPAL"
"1908","COLEGIO SALESIANO MALDONADO"
,"INSTITUCION EDUCATIVA AGROINDUSTRIAL FRANCISCO MEDRANO"
"132787","JULIA FLÓREZ"
"81885","I.E. ESCUELA NORMAL SUPERIOR - SEDE PRINCIPAL"
"37655","I.E. NUESTRA SEÑORA DE LA ANTIGUA - SEDE PRINCIPAL"
"27631","I.E. TECNICA SAN IGNACIO - SEDE PRINCIPAL"
"119255","COLEGIO CIUDAD DEL SOL"
"49452","COL DE EDUC BAS Y MEDIA TEC EL CHARCO"
"81844","INSTITUTO TECNICO GONZALO SUAREZ RENDON CENTRAL"
"5371","I.E.T AGRICOLA - SEDE PRINCIPAL"
"168468","INST TEC AGRICOLA"
"154245","I.E. GENERAL SANTANDER - SEDE PRINCIPAL"
"125187","""""""CENTRO DE DESARROLLO HUMANO """"""""CEDHU"""""""""""""""
"24794","COLEGIO SAN PEDRO CLAVER"
"120667","IE TEC SIMONA AMAYA- SEDE PRINCIPAL"
"5660","IE NSTRA SRA DEL CARMEN - SEDE PRINCIPAL"
"157701","I.E. TECNICO INDUSTRIAL MARCO AURELIO BERNAL - SEDE PRINCIPAL"
"153536","I.E. TECNICO INDUSTRIAL JULIO FLOREZ - SEDE PRINCIPAL"
"120691","COL DE EDUCACION BAS HERNANDO GELVEZ SUAREZ"
"155135","I.E. SAN FELIPE - SEDE PRINCIPAL"
"340430","SEDE SAN RAFAEL"
"707356","I.E. JUAN JOSE NEIRA - SEDE PRINCIPAL"
"157677","IE MARIANO OSPINA PEREZ - SEDE PRINCIPAL"
,"INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA"
"101493","IE SAN JOSE DE LA FLORIDA - SEDE PRINCIPAL"
,"I.E. DE DESARROLLO TECNOLÓGICO AGROPECUARIO - SEDE PRINCIPAL"
"738773","INSTITUTO TECNICO NUEVA FAMILIA - SEDE PRINCIPAL"
"30262","I.E. SAN MARCOS - SEDE PRINCIPAL"
"5199","I.E. TECNICA SAN DIEGO DE ALCALA - SEDE PRINCIPAL"
"34736","I.E.T. ALEJANDRO DE HUMBOLDT - SEDE PRINCIPAL"
"96651","COL DE SALAMANCA"
"5322","I.E. ANTONIO NARIÑO - SEDE PRINCIPAL"
"167270","LICEO CAMPESTRE FRAY ARTURO AYALA - SEDE PRINCIPAL"
"106997","COLTEC AGROP PUERTO SERVIEZ"
"155416","IE CASILDA ZAFRA - SEDE PRINCIPAL"
"132019","COL ANTONIA SANTOS"
"151639","COL IGNACIO GIL SANABRIA"
"161760","I.E. LOPEZ QUEVEDO"
"157891","COL DE EDUC BAS SAN ISIDRO"
"154807","ESC NORMAL SUPERIOR"
"608836","COLEGIO SUAMOX"
"137448","COL DULCE CORAZON DE MARIA"
"169052","COL DE EDUC BAS TUANECA ARRIBA"
,"COLEGIO TECNICO MUNICIPAL FRANCISCO DE PAULA SANTANDER"
"0","COLEGIO MAYOR LEON XIII"
,"I.E. JUAN JOSE SAMANIEGO - SEDE PRINCIPAL"
,"I.E.T. JOSE ACEVEDO Y GOMEZ - SEDE PRINCIPAL"
,"COLEGIO MAYOR LEON XIII"
"714691","INSTITUTO SAN MARTIN"
"120659","I.E. PUERTO PINZON - SEDE PRINCIPAL"
"151217","I.E. CASCAJAL - SEDE PRINCIPAL"
"153387","INSTITUCION EDUCATIVA SILVESTRE ARENAS"
"32243","COLEGIO MILITAR CORONEL JUAN JOSE RONDON"
"32078","INSTITUTO TECNICO SANTO TOMAS DE AQUINO SEDE BACHILLERATO"
"134049","IE AGROP EL ESCOBAL - SEDE PRINCIPAL"
"55467","IE JORGE ELIECER GAITAN - SEDE PRINCIPAL"
"162859","ESC SANTA ROSA"
"86355","COL JUANA CAPORAL"
"5199","COL TEC AGROP"
"165837","COLEGIO NUEVA INGLATERRA"
"45807","COL SAN LUIS BELTRAN"
,"LICEO CAMPESTRE FRAY ARTURO AYALA - SEDE PRINCIPAL"
,"I.E. SAN LUIS BELTRAN - SEDE PRINCIPAL"
"57125","IE SAN ISIDRO - SEDE PRINCIPAL"
"608513","IE JUAN BAUTISTA MARIA VIANNEY"
"54585","IE TEC PANTANO DE VARGAS"
"675645","I.E.T. DE NAZARETH - SEDE PRINCIPAL"
"224014","I.E. MARCO AURELIO BERNAL - SEDE PRINCIPAL"
"54635","COL TEC AGROP DE PALERMO"
"5165","INST NZADO BTO TEC CIAL"
"171298","IE JOHN F. KENNEDY - SEDE PRINCIPAL"
"81893","COL TEC TOMAS VASQUEZ RODRIGUEZ"
"702746","SEDE AGROPECUARIA JORGE EDUARDO LONDOÑO ULLOA"
"5686","INST EDUCATIVA GUSTAVO ROMERO HERNANDEZ"
"86223","I.E. SAN ANTONIO - SEDE PRINCIPAL"
"86223","I.E. TECNICA AGROPECUARIA SAN ANTONIO - SEDE PRINCIPAL"
"159830","I.E. TECNICA ANTONIO RICAURTE - SEDE PRINCIPAL"
"164798","EL HATO"
"156687","COL EDUC BAS CEBADAL"
"5371","INST TEC AGRICOLA"
"197681","GIMNASIO CRISTIANO JESUCRISTO ES EL REY - SEDE PRINCIPAL"
"61978","IE DIEGO DE TORRES - SEDE PRINCIPAL"
,"COL. NUESTRA SEÑORA DE FÁTIMA"
,"IE CARLOS JULIO UMAÑA TORRES - SEDE PRINCIPAL"
"116160","I.E.T. SANTA CRUZ DE MOTAVITA - SEDE PRINCIPAL"
"111138","I.E.T. CARLOS ALBERTO OLANO VALDERRAMA - SEDE PRINCIPAL"
"86231","CENTRO EDUCATIVO SAN AGUSTIN - SEDE PRINCIPAL"
"24810","I.E. TECNICA JOSE GABRIEL CARVAJAL GARCIA - SEDE PRINCIPAL"
"57133","COLEGIO JESUS EUCARISTIA"
"136887","COL JOSE ASUNCION SILVA"
"5488","IE IGNACIO GIL SANABRIA - SEDE PRINCIPAL"
"134049","COL BAS EL ESCOBAL"
"107359","COLEGIO BOLIVARIANO"
,"IE CARLOS ARTURO TORRES PEÑA - SEDE PRINCIPAL"
"154153","I.E. JUAN DE JESÚS ACEVEDO - SEDE PRINCIPAL"
"64162","I.E. ACADEMICO DE PAIPA"
"150037","I.E. TECNICA Y ACADEMICA ANTONIO NARIÑO - SEDE PRINCIPAL"
"27631","IE TEC SAN IGNACIO - SEDE PRINCIPAL"
"111724","IE EL CHAPETON - SEDE PRINCIPAL"
,"I.E. TECNICO INDUSTRIAL MARISCAL SUCRE - SEDE PRINCIPAL"
"86256","I.E. JOSE SANTOS GUTIERREZ - SEDE PRINCIPAL"
,"I.E.T PANTANO DE VARGAS - SEDE PRINCIPAL"
"159095","ESC SAN MIGUEL"
,"I.E. PABLO VALETTE - SEDE PRINCIPAL"
,"IE HECTOR JULIO GOMEZ - SEDE PRINCIPAL"
,"IE NORMAL SUPERIOR - SEDE PRINCIPAL"
"86231","COL. NUESTRA SEÑORA DE FÁTIMA"
"136978","INSTITUCION EDUCATIVA SAN MARTÍN DE TOURS"
"698654","I.E.T. AGROPECUARIA SAN RAFAEL - SEDE PRINCIPAL"
"148668","I.E. TECNICA AGROPECUARIA LA GRANJA - SEDE PRINCIPAL"
"96586","COL COOP COOSERVICIOS"
"67728","I.E.T. SAN PEDRO DE IGUAQUE - SEDE PRINCIPAL"
"142349","COLEGIO NUESTRA SEÑORA DE GUADALUPE"
"5728","IE TEC AGROPECUARIA - SEDE PRINCIPAL"
"5249","COL NAL LA SALLE"
"33134","IE PABLO VI - SEDE PRINCIPAL"
"47274","COL JOSE MARIA SILVA SALAZAR"
"33159","COL EDUC BAS Y MEDIA TEC NICA JOSE ANTONIO PAEZ"
"5033","COL NZADO DE BTO AGROP"
"81877","COLEGIO SUAMOX"
"148338","COL DE EDUCAC BAS MEDIA STA BARBARA"
,"CENTRO DE ENSEÑANZA PRECOZ CAMINO AL SABER"
,"I.E.T NACIONALIZADO DE PAUNA - SEDE PRINCIPAL"
"2533","INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ"
"161430","IE DE EDUC BAS Y MEDIA TEC JOSE ANTONIO PAEZ - SEDE PRINCIPAL"
,"INSTITUCION EDUCATIVA GUSTAVO ROJAS PINILLA CENTRAL"
,"COLEGIO SAN JOSE DE CALASANZ"
"749796","I.E. SAN MARCOS - SEDE PRINCIPAL"
"159335","I.E. REGION SUR DE AQUITANIA - SEDE PRINCIPAL"
,"IE SAN PEDRO CLAVER- SEDE PRINCIPAL"
"160416","I.E. NUESTRA SEÑORA DEL CARMEN - SEDE PRINCIPAL"
"29736","INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO"
"133108","INST SOLUCION EDUCATIVA SOLED"
,"IE SANTA BARBARA - SEDE PRINCIPAL"
,"COLEGIO DE BACHILLERATO NUEVA ESPERANZA"
"174490","I.E.T. DE NOBSA - SEDE PRINCIPAL"
"5611","INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO"
"33134","I.E. TECNICA PABLO VI - SEDE PRINCIPAL"
"5538","IE TECNICA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL"
"5595","COLEGIO NUESTRA SEÑORA DEL ROSARIO"
"5405","I.E. INDALECIO VASQUEZ  - SEDE PRINCIPAL"
"732941","INSTITUCION EDUCATIVA NUEVA GRANADA - SEDE PRINCIPAL"
"675728","I.E. EL ROSARIO - SEDE PRINCIPAL"
"140764","COLEGIO JESUS MAESTRO"
"154161","I.E. JAIME RUIZ CARRILLO - SEDE PRINCIPAL"
"64162","IE ACAD DE PAIPA"
"128330","I.E. PIJAOS - SEDE PRINCIPAL"
"5322","I.E. TECNICA ANTONIO NARIÑO - SEDE PRINCIPAL"
"5454","I.E. NORMAL SUPERIOR - SEDE PRINCIPAL"
"130831","COLEGIO CORPORACIÓN SANTO DOMINGO - SEDE PRINCIPAL"
"71449","SECCION BACHILLERATO"
"24778","I.E.T. DE FIRAVITOBA - SEDE PRINCIPAL"
"183079","COL DE ED BAS Y MED TEC NSTRA SRA DE LA O"
"661132","IE TEC AGROPECUARIO - SEDE PRINCIPAL"
"740910","INSTITUCION EDUCATIVA MAGDALENA"
"49494","COL TEC RIO DE PIEDRAS"
"675173","ESC SAN JOSE DE LA MONTAÑA"
"49437","COL TECN AGRIC ANTONIO NARIÑO"
"101253","COL EDUC BAS SIMON BOLIVAR"
"140764","PRINCIPAL INTEGRADO"
"96636","COLEGIO COLOMBO BRITANICO"
"5108","COLEGIO SEMINARIO DIOCESANO"
"100305","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
"740548","I.E. NORMAL SUPERIOR SAGRADO CORAZON - SEDE PRINCIPAL"
"71423","INSTITUCION EDUCATIVA TECNICO DE BELLAS ARTES"
"64212","I.E. TECNICA PIO MORANTES - SEDE PRINCIPAL"
"30262","IE SAN MARCOS - SEDE PRINCIPAL"
"148296","IE ALBERT EINSTEIN"
"27722","INSTITUCION EDUCATIVA"
"167718","COL DIVINO NIÑO DE CORMAL"
"60111","I.E.T. AGROPECUARIA EL MARFIL - SEDE PRINCIPAL"
"57166","COL DEPTAL AGROP SECUNDARIA"
"71456","I.E. TECNICA SAN BARTOLOME - SEDE PRINCIPAL"
"89730","COL NZADO DE PAUNA"
"5561","COLEGIO COOPERATIVO DE TRABAJADORES DE ACERIAS PAZ DEL RIO"
"147959","I.E. DE CERINZA - SEDE PRINCIPAL"
,"COL MILITAR CORONEL FRAY JOSE IGNACIO MARIÑO"
,"I.E. SANTA ROSA - SEDE PRINCIPAL"
,"I.E.TÉCNICA ENRIQUE OLAYA HERRERA - SEDE PRINCIPAL"
"324996","ESC SAN JUAN DE MOMBITA"
,"INSTITUCIÓN EDUCATIVA ANGLO AMERICANO"
,"COLEGIO SALESIANO"
"96727","INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ"
,"I.E. JORGE ELIECER GAITAN - SEDE PRINCIPAL"
"86231","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
,"I.E.T. AGRICOLA - SEDE PRINCIPAL"
"5090","COLEGIO SALESIANO"
"45443","IE TECNICO INDUSTRIAL - SEDE PRINCIPAL"
"5587","INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI"
"763441","I.E. TECNICA NACIONALIZADA DE SAMACA - SEDE PRINCIPAL"
"60046","I.E. SUAZAPAWA - SEDE PRINCIPAL"
"4929","I.E.T. MANUEL BRICEÑO - SEDE PRINCIPAL"
"5223","I.E. NORMAL SUPERIOR NTRA SRA DEL ROSARIO - SEDE PRINCIPAL"
"120691","I.E. HERNANDO GELVEZ SUAREZ - SEDE PRINCIPAL"
"86314","I.E EL CRUCE"
"183442","COL DIVINO NIÑO DE CORMAL"
"662734","I.E.T. AGROPECUARIO LA ESMERALDA - SEDE PRINCIPAL"
"725077","I.E. NORMAL SUPERIOR - SEDE PRINCIPAL"
,"I.E.T. LISANDRO CELY - SEDE PRINCIPAL"
"29595","INST TEC CIAL ENRIQUE SUAREZ"
,"I.E. JOSE JOAQUIN CASAS - SEDE PRINCIPAL"
"165100","INSTITUCION EDUCATIVA EL ROSARIO"
"607564","COL DE ED. BASICA LEV VYGOTSKI"
,"CENTRO EDUCATIVO JUAN DE LA SALLE"
,"I.E. JUAN JOSE REYES PATRIA - SEDE PRINCIPAL"
"71464","COL TEC TOMAS VASQUEZ RODRIGUEZ"
,"I.E.T AGRICOLA - SEDE PRINCIPAL"
,"I.E.T. SERGIO CAMARGO - SEDE PRINCIPAL"
,"I.E.T. MANUEL BRICEÑO - SEDE PRINCIPAL"
"18350","I.E. ANTONIO NARIÑO - SEDE PRINCIPAL"
,"I.E. LOPEZ QUEVEDO"
"0","I.E. JOSE JOAQUIN CASAS - SEDE PRINCIPAL"
"120675","IE LUIS CARLOS GALAN - SEDE PRINCIPAL"
"736009","INSTITUTO TÉCNICO JOSÉ MIGUEL SILVA PLAZAS"
"5074","I.E. INTEGRADO - SEDE PRINCPAL"
"608745","COLEGIO CELCO"
"40436","I.E. TECNICA NACIONALIZADA PABLO VI - SEDE PRINCIPAL"
"5173","I.E.T. SAN LUIS - SEDE PRINCIPAL"
"40469","COLEGIO BOYACA DE DUITAMA SEDE BACHILLERATO"
"5264","I.E. TECNICA JAIME CAMPOS JACOME DE MACANAL - SEDE PRINCIPAL"
"5058","I.E. NORMAL SUPERIOR SAGRADO CORAZÓN - SEDE PRINCIPAL"
"40501","INSTITUCION EDUCATIVA DE SORA"
"180570","GIMNASIO CAMPESTRE EL BOSQUE"
"116541","""LICEO HOLCIM """"EDUCAMOS PARA LA INNOVACION Y EL EMPRENDIMIENTO"""""""
"135814","IE CONCHA MEDINA DE SILVA"
"171702","ESC SIDERURGICA"
"128637","COL LA LIBERTAD (SEDE GACAL)"
"195628","LICEO MODERNO SAN SEBASTIAN - SEDE PRINCIPAL"
"150920","COL BAS SAZA"
"86264","I.E. TECNICA JOSE IGNACIO DE MARQUEZ - SEDE PRINCIPAL"
"86264","INS TEC JOSE IGNACIO DE MARQUEZ"
"717611","INSTITUCION EDUCATIVA COLEGIO EMPRESARIAL DE BOYACA - SEDE PRINCIPAL"
,"I.E. DE BOYACA - SEDE PRINCIPAL"
"7546","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
,"I.E. AGRICOLA ANTONIO NARIÑO - SEDE PRINCIPAL"
,"I.E. HAYDEE CAMACHO SAAVEDRA - SEDE PRINCIPAL"
"730945","I.E. JOSE MARIA SILVA SALAZAR - SEDE PRINCIPAL"
"754648","I.E. TECNICA AGRICOLA - SEDE PRINCIPAL"
"5207","I.E. VALLE DE TENZA - SEDE PRINCIPAL"
"4788","COLEGIO NUESTRA SEÑORA DEL ROSARIO"
"194951","COL COOPTEBOY"
"126870","CENTRO EDUCATIVO SAN AGUSTIN - SEDE PRINCIPAL"
"169748","INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA"
"37655","COL NTRA SRA DE LA ANTIGUA"
"5751","IE LIBARDO CUERVO PATARROYO - SEDE PRINCIPAL"
"166900","BUTAGÁ"
"47274","I.E. JOSE MARIA SILVA SALAZAR - SEDE PRINCIPAL"
"5074","IE COL NZADO INTEGD"
"71456","IE TEC SAN BARTOLOME - SEDE PRINCIPAL"
"160564","I.E. JUAN JOSE REYES PATRIA - SEDE PRINCIPAL"
,"INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO"
,"COUNTRY BILINGUAL SCHOOL - SEDE PRINCIPAL"
"169821","I.E. NUESTRA SEÑORA DE LA ANTIGUA - SEDE PRINCIPAL"
,"I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO - SEDE PRINCIPAL"
"99341","IE TEC ANTONIO NARIÑO - SEDE PRINCIPAL"
,"CENTRO JUVENIL AMIGONIANO BOYACÁ - SEDE PRINCIPAL"
"31500","I.E.T. DE NAZARETH - SEDE PRINCIPAL"
"159848","I.E. TECNICA ANTONIO RICAURTE - SEDE PRINCIPAL"
"24752","ESC NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA"
"5702","I.E. TECNICA RAFAEL URIBE - SEDE PRINCIPAL"
"130831","COLEGIO CORPORACIÓN SANTO DOMINGO"
"49445","COL TEC JUAN JOSE SAMANIEGO"
"30783","SECCIÓN BACHILLERATO"
"666297","I.E. SANTO DOMINGO SAVIO - SEDE PRINCIPAL"
"676270","IE NORMAL SUPERIOR VALLE DE TENZA - SEDE PRINCIPAL"
"172510","I.E. ANTONIA SANTOS - SEDE PRINCIPAL"
"141051","COL MPAL PABLO VALETTE"
"146464","ESC SUPANECA"
"161042","I.E. EL PRADO - SEDE PRINCIPAL"
"191304","COLEGIO GARCIA LORCA - SEDE PRINCIPAL"
"160549","COL DE EDUC BAS TUANECA ARRIBA"
,"INSTITUCION EDUCATIVA TECNICO DE BELLAS ARTES"
"104547","SEDE CENTRAL"
,"COLEGIO MILITAR INOCENCIO CHINCA"
,"IE TECNICA DE MONGUI - SEDE PRINCIPAL"
,"IE TEC SIMONA AMAYA- SEDE PRINCIPAL"
"2301","INSTITUTO TECNICO NUEVA FAMILIA - SEDE PRINCIPAL"
,"IE JUAN BAUTISTA MARIA VIANNEY"
"5520","I.E. TECNICA PEDRO JOSE SARMIENTO - SEDE PRINCIPAL"
"30015","I.E. JOSE JOAQUIN CASAS - SEDE PRINCIPAL"
"732511","I.E. DE CERINZA - SEDE PRINCIPAL"
"47290","I.E. JORGE ELIECER GAITAN - SEDE PRINCIPAL"
"165837","COLEGIO NUEVA INGLATERRA - SEDE PRINCIPAL"
"223974","I.E.T. DE FIRAVITOBA - SEDE PRINCIPAL"
"725226","SEDE CENTRAL"
"607978","GIMNASIO GALILEO GALILEI - SEDE PRINCIPAL"
"136978","INSTITUCION EDUCATIVA NUEVA GRANADA - SEDE PRINCIPAL"
