estu_cod_reside_mcpio_encoded,estu_cod_reside_mcpio
253.70828358577677,15047.0
278.3769387406285,15759.0
283.9431146306538,15238.0
244.45930814880293,15212.0
257.8538309820266,15204.0
251.36003240692634,15518.0
282.47928059657045,15001.0
282.47928059657045,15001.0
278.3769387406285,15759.0
248.159279780006,15761.0
257.66477481880025,15367.0
268.8215186203356,15299.0
258.3060679802738,15763.0
282.47928059657045,15001.0
260.6367361923605,15500.0
259.41162070242115,15646.0
258.78092078427244,15176.0
259.2265310041558,15599.0
283.9431146306538,15238.0
249.47106723059457,15542.0
238.8307682385543,15632.0
247.306234777368,15814.0
264.2037900469761,15407.0
283.9431146306538,15238.0
283.9431146306538,15238.0
261.0809806108051,15667.0
253.54655697488184,15861.0
253.01990891227786,15879.0
282.47928059657045,15001.0
258.78092078427244,15176.0
258.84836561431507,15104.0
250.98163435134194,15106.0
258.78092078427244,15176.0
260.29064868725555,15804.0
283.9431146306538,15238.0
268.5010083257121,15753.0
283.9431146306538,15238.0
261.6948227665143,15835.0
253.70828358577677,15047.0
283.9431146306538,15238.0
278.3769387406285,15759.0
261.0809806108051,15667.0
278.3769387406285,15759.0
247.32142042470804,15740.0
247.32142042470804,15740.0
282.47928059657045,15001.0
258.78092078427244,15176.0
264.2037900469761,15407.0
263.16376922512944,15403.0
251.4943754894272,15296.0
283.9431146306538,15238.0
249.56348923698164,15476.0
240.03990877670495,15580.0
237.69210219845445,15572.0
258.78092078427244,15176.0
262.1870184411248,15837.0
282.47928059657045,15001.0
253.84998170830676,15673.0
283.9431146306538,15238.0
270.3160589617206,15491.0
282.47928059657045,15001.0
278.3769387406285,15759.0
255.55029896670888,15322.0
282.47928059657045,15001.0
237.69210219845445,15572.0
237.69210219845445,15572.0
254.55985358277852,15762.0
247.32142042470804,15740.0
258.78092078427244,15176.0
278.3769387406285,15759.0
283.9431146306538,15238.0
258.78092078427244,15176.0
258.78092078427244,15176.0
282.47928059657045,15001.0
278.3769387406285,15759.0
244.27355270269794,15185.0
282.47928059657045,15001.0
238.82903223701297,15822.0
282.47928059657045,15001.0
239.73753807314074,15696.0
238.82903223701297,15822.0
282.47928059657045,15001.0
278.3769387406285,15759.0
252.44819732148667,15897.0
287.5903096448558,15516.0
256.02431259295736,15537.0
283.9431146306538,15238.0
252.44819732148667,15897.0
261.0474110394938,15380.0
283.9431146306538,15238.0
251.4943754894272,15296.0
282.47928059657045,15001.0
247.32142042470804,15740.0
252.50391557453236,15755.0
282.47928059657045,15001.0
283.9431146306538,15238.0
282.47928059657045,15001.0
282.47928059657045,15001.0
238.8307682385543,15632.0
237.69210219845445,15572.0
255.55029896670888,15322.0
261.6662121273262,15808.0
257.70567574979447,15514.0
249.91445546128304,15638.0
278.3769387406285,15759.0
243.18277539732904,15531.0
278.3769387406285,15759.0
282.47928059657045,15001.0
278.3769387406285,15759.0
268.5010083257121,15753.0
246.19604504349758,15778.0
278.3769387406285,15759.0
250.25334718468088,15189.0
287.5903096448558,15516.0
261.2657705876295,15764.0
258.78092078427244,15176.0
282.47928059657045,15001.0
258.84836561431507,15104.0
258.2340869030589,15469.0
258.78092078427244,15176.0
283.9431146306538,15238.0
240.03990877670495,15580.0
278.3769387406285,15759.0
283.9431146306538,15238.0
283.9431146306538,15238.0
278.3769387406285,15759.0
264.2037900469761,15407.0
282.47928059657045,15001.0
282.47928059657045,15001.0
250.25334718468088,15189.0
283.9431146306538,15238.0
282.47928059657045,15001.0
257.66477481880025,15367.0
282.47928059657045,15001.0
283.9431146306538,15238.0
287.5903096448558,15516.0
278.3769387406285,15759.0
282.47928059657045,15001.0
253.54655697488184,15861.0
283.9431146306538,15238.0
270.3160589617206,15491.0
283.9431146306538,15238.0
282.47928059657045,15001.0
233.04234655577403,15183.0
282.47928059657045,15001.0
282.47928059657045,15001.0
278.3769387406285,15759.0
239.73753807314074,15696.0
282.47928059657045,15001.0
264.2037900469761,15407.0
244.07195920498114,15480.0
283.9431146306538,15238.0
253.70828358577677,15047.0
283.9431146306538,15238.0
278.3769387406285,15759.0
257.8538309820266,15204.0
244.4460467496816,15180.0
233.5955997820336,15368.0
261.0809806108051,15667.0
282.47928059657045,15001.0
262.92461795550855,15215.0
282.47928059657045,15001.0
282.47928059657045,15001.0
282.47928059657045,15001.0
283.9431146306538,15238.0
261.6948227665143,15835.0
278.3769387406285,15759.0
259.0328080550761,15087.0
257.66477481880025,15367.0
283.9431146306538,15238.0
